trajectory_id,user_id,start_time,end_time,poi_id,POI_name,POI_category_id,POI_category_name,longitude,latitude,norm_in_day_time
29_1,29,2019-10-07 11:33:10,2019-10-07 21:52:16,POI_12098138059577980640,清华大学附属中学,241100,中学,116.32,40.01,0.4583333333333333
29_2,29,2019-10-07 23:17:30,2019-10-08 03:03:11,POI_2812789226169846792,清华大学离退休处,248000,教育学校附属,116.325,40.0,0.9583333333333334
29_3,29,2019-10-08 03:18:46,2019-10-08 03:46:44,POI_6165720324004819201,清华大学前沿科学研究中心,121900,科研机构,116.32,40.005,0.125
29_4,29,2019-10-08 03:54:06,2019-10-08 04:42:06,POI_16071129515325122547,便利店,131100,便利店,116.315,40.005,0.125
29_5,29,2019-10-08 05:04:04,2019-10-08 05:20:29,POI_2812789226169846792,清华大学离退休处,248000,教育学校附属,116.325,40.0,0.2083333333333333
